verb1,verb2,nominal_appositive,vp1_ONLY_USED_FOR_CREATING_NOMINAL_APPOSITIVE,vp2,subj,prn,name1,name2
is,was,also a translator,used to dream to become a translator,was mentioned in the newspaper,The volunteer,he,Carly,Heather
is,was,a train enthusiast,missed a train this morning,was pulled over for drunk driving,The teacher,he,Gavin,Jeffrey
is,was,a carrot lover,went to Target to buy some carrots,was isolated from society for a long time,The inspector,he,Ricardo,Peter
is,was,the dad of that famous youth-league athlete,used to play for the youth soccer team in 2009,was famous in Italy,The motorcyclist,he,Samuel,Jasmin
is,was,a cancer survivor,felt so sleepy all day,was happy to be outside in the sunny weather,The animator,he,Travis,Michaela
is,was,a single man,went out for a date,was solving a crossword puzzle,The anthropologist,he,Evan,Luis
is,would,also an award-winning patisserie chef,won the annual cake-baking contest,would call the landlord every night,The attendant,he,Andres,Shawn
is,would,a troubled sleeper,had a nightmare for the first time in years,would read books at a park nearby,The columnist,he,Adriana,Mitchell
is,would,the best friend of the Illinois Governor,met the Illinois governor at a Greek restaurant,would go to the park for a walk in the evenings,The dentist,he,Lily,Heather
is,would,a recently engaged romantic,got engaged this month,would eat bananas at night,The nanny,she,Arianna,Katie
is,would,an energetic cyclist,biked to downtown yesterday,would wake up early on Christmas Eve,The barista,he,Adrian,Margaret
is,would,a regular postal customer,went to the post office,would sleep on the couch,The librarian,he,Mckenna,Rachel
is,would,a late-nighter,came back home late at night yesterday,would go out for a picnic on Sundays,The counselor,he,Shawn,Andre
is,would,a troubled sleeper,had a nightmare for the first time in years,would make pasta for dinner,The animator,he,Jasmine,Avery
is,would,a forgetful laundry avoider,forgot to do the laundry,would wear glasses in the day time,The motorcyclist,he,Nicholas,Skylar
is,would,a visibly homesick person,seemed very eager to return home,would wear glasses in the day time,The nanny,she,Garrett,Steven
is,did,an avid French-cuisine enthusiast,has lots of interest in French cuisine,recently adopted a rescue dog,The nurse,he,Marco,Elizabeth
is,did,a history blogger,occasionally writes a blog about historical figures,had a good sleep,The industrialist,he,Omar,Isaac
is,did,a talented storyteller,always has fun stories to tell,decided to purchase a minivan,The receptionist,he,Mckenna,Katie
is,did,also a dedicated wrestling trainee,usually trains all year for the national competition,felt so sleepy all day,The hairdresser,he,Isabel,Diana
is,did,a newlywed,wants to get married soon,took a flight from Newark to Los Angeles,The therapist,she,Sofia,Cody
is,did,a horror-movie avoider,hates horror movies,prepared for the meal,The judge,she,Hanna,Makenzie
is,did,a frugal shopper,has three sons,used to get high grades in high school,The soccer player,he,Adrian,Skylar
is,did,a well-known apple picker,plans to go apple picking tomorrow,worked out late at night,The diplomat,he,Mario,Jasmine
is,did,an outspoken commentator,frequently gives extreme opinions without backing them up,prepared for the meal,The attendant,he,Cassandra,Bailey
is,did,a voracious reader,reads eight books a month,hired a teenager to mow the lawn,The overseer,she,Dalton,Alexandra
is,has,a history blogger,occasionally writes a blog about historical figures,has been in town for 10 years,The barista,he,Maggie,Trinity
is,has,an avid watch collector,wears a fancy watch,has been checking the clock for five hours,The Marine,he,Hector,Shelby
is,has,a loud laugher,laughs very loudly,has been collecting fridge magnets for five years,The magician,he,Jillian,Rebecca
is,has,a well-known apple picker,plans to go apple picking tomorrow,has been earning money by making YouTube videos,The tenant,she,Melissa,Makenzie
is,has,a well-known apple picker,plans to go apple picking tomorrow,has lost a child,The architect,he,Juan,Hunter
is,has,a regular cyclist,rides a bike to the nearest park,has been working out for two hours,The farmer,he,Parker,Chloe
is,has,a friend of many Koreans,has lots of Korean friends,has been in town for 10 years,The chemist,he,Evelyn,Jasmin
is,has,a history blogger,occasionally writes a blog about historical figures,has been staying in Hawaii for two months,The rapper,he,Chelsea,Xavier
is,has,also a card-trick performer,knows some card tricks,has been earning money by making YouTube videos,The teacher,he,Camryn,Patrick
is,has,a regular park cyclist,rides a bike to the nearest park,has been in town for 10 years,The nun,she,Andrea,Isabel
was,is,once a bungee-jumping fan,likes bungee jumping,is wearing a wedding ring,The chemist,he,Amber,Kendra
was,is,previously a chicken expert,has a good recipe for cooking chicken breast,is always trustworthy,The columnist,he,Ian,Marcus
was,is,once a lover of Russian literature,loves reading Russian books,is not good at riding a bike,The scientist,he,Henry,Shawn
was,is,previously a fan of extreme sports,enjoys extreme sports,is always trustworthy,The driver,she,Carly,Diana
was,is,previously a hair designer,has a very slick hairstyle,is extremely fickle and demanding,The banker,she,Nathaniel,Preston
was,is,previously a recreational tree climber,climbs trees for recreation,is never late,The climber,she,Dakota,Laura
was,is,once an avid watch collector,wears a fancy watch,is reliably clam under pressure,The stewardess,she,Benjamin,Danielle
was,is,previously a chicken expert,has a good recipe for cooking chicken breast,is wearing a wedding ring,The solider,he,Ariana,Cassandra
was,is,once a close friend of a famous Jazz pianist,has a pianist friend,is an avid foodie,The banker,she,Jose,Jorge
was,is,formerly a part-time comedian,finds humor in the worst situations,is not good at riding a bike,The senator,she,Garrett,Joseph
is,was,a loud laugher,laughs very loudly,was nervous about the stressful situation,The author,she,Alexa,Nathaniel
is,was,a dark-humor admirer,finds humor in the worst situations,was nervous about the upcoming debate,The judge,she,Angelica,Aaron
is,was,a snow-weather hater,hates snow,was listening to classical music,The cashier,she,Bailey,Gabriela
is,was,an environmentally conscious person,cares a lot about the environment,was born in 1992,The comedian,he,Carlos,Kelly
is,was,a close friend of a famous Jazz pianist,has a pianist friend,was pulled over for drunk driving,The surgeon,he,Carlos,Amanda
is,was,a very social person,has lots of friends,was being chased by a few people,The housekeeper,he,Dominic,Alexandria
is,was,a red-haired person,has red hair,was mentioned in the newspaper,The comedian,he,Nicole,Mackenzie
is,was,an apple-pie baker,enjoys baking apple pies,was born in 1992,The florist,he,Katie,Alexandria
is,was,a daily-vitamin taker,takes a vitamin everyday,was being chased by a few people,The librarian,he,Melissa,Marco
is,was,an avid watch collector,wears a fancy watch,was upset about the cleanliness of City Hall,The waitress,she,Wyatt,Richard
is,would,a history blogger,occasionally writes a blog about historical figures,would go to the movies every week,The soccer player,he,Charles,Christina
is,would,a long-distance driver,usually drives three hours a day,would have oatmeal for breakfast,The volunteer,he,Alejandro,Roberto
is,would,a sibling in a family of three,has two sisters,would wear a yellow hat on sunny days,The therapist,she,Jaden,Harrison
is,would,a neat-handwriting person,has a neat handwriting,would wear a yellow hat on sunny days,The actress,she,Ethan,Gregory
is,would,a long-distance daily driver,usually drives three hours a day,would stay out late on the weekends,The colleague,she,Travis,Bethany
is,would,a lover of Russian literature,loves reading Russian books,would eat bananas at night,The researcher,he,Nicolas,Blake
is,would,the always cheerful lad,never forgets to greet people with with a big smile,would buy lottery tickets on the weekends,The musician,he,Courtney,Lindsey
is,would,a horror-movie avoider,hates horror movies,would swim in the Lake on Monday mornings,The overseer,she,Steven,Max
is,would,a part-time comedian,finds humor in the worst situations,would make pasta for dinner,The reporter,she,Erik,Cole
is,would,a history blogger,occasionally writes a blog about historical figures,would drive to the nearest library when the weather is bad,The make-up artist,he,Jaden,Adam
is,did,a longtime diary keeper,has been keeping a diary for 15 years,brought a new plant home,The technician,she,Logan,Mariah
is,did,a grieving parent,has lost a child,used to go to school in Japan,The hairdresser,he,Emmanuel,Alan
is,did,a longtime neighbor of the mayor,has been neighbors with the mayor,attended a free yoga lesson,The director,she,Naomi,Maya
is,did,a forty-year-old woman,has just turned 40,had a car accident last night,The diver,she,Alexandra,Cesar
is,did,a longtime Ariana Grande fan,has been a long time fan of Ariana Grande,used to visit the gourmet regularly,The soccer player,he,Brenda,Nathaniel
is,did,a temporary Hawaii resident,has been staying in Hawaii for two months,went out for a date,The anthropologist,he,Taylor,Alex
is,did,a dilligent exerciser,has been working out for two hours,forgot to do the laundry,The swimmer,she,Elizabeth,Conner
is,did,an All Stars candidate,has been chosen to audition for the All Stars game,forgot to lock the door,The accountant,he,Crystal,Arianna
is,did,a chemotherapy survivor,has undergone chemotherapy,used to play badminton,The Marine,he,Kaylee,Andres
is,did,a private-jet dreamer,has been dreaming of buying a private jet,went to the post office,The model,she,Natalie,Carly
is,does,an All Stars candidate,has been chosen to audition for the All Stars game,volunteers regularly at a local church,The technician,she,Jayden,Naomi
is,does,a seasoned industry worker,has worked in the industry for more than 10 years,always greets kindly,The shop owner,he,Luis,Alec
is,does,a YouTube creator,has been earning money by making YouTube videos,has strong opinions about all kinds of things,The firefighter,she,Colin,Edwin
is,does,a private-jet dreamer,has been dreaming of buying a private jet,has a very slick hairstyle,The detective,she,Zoe,Brady
is,does,a seasoned industry worker,has worked in the industry for more than 10 years,frequently gives extreme opinions without backing them up,The soccer player,he,Morgan,Ashley
is,does,a dilligent exerciser,has been working out for two hours,usually drives three hours a day,The musician,he,Alejandro,Joseph
is,does,a devoted Rihanna fan,has been a fan of Rihanna since her debut,takes a vitamin everyday,The receptionist,he,Marissa,Jillian
is,does,a longtime neighbor of the mayor,has been neighbors with the mayor,rides a bike to the nearest park,The customer,she,Isabelle,Mckenna
is,does,a YouTube creator,has been earning money by making YouTube videos,has lots of friends,The receptionist,he,Tristan,Alicia
is,does,a seasoned industry worker,has worked in the industry for more than 10 years,has two sisters,The nun,she,Molly,Cameron
was,is,once a dilligent exerciser,has been working out for two hours,is reading a newly released sci-fi book,The optician,she,Cassidy,Sierra
was,is,formerly the assistant of the mayor,has been neighbors with the mayor,is a U.S. immigrant from Vietnam,The volunteer,he,Kenneth,Steven
was,is,once a chemotherapy survivor,has undergone chemotherapy,is learning Spanish,The attendant,he,Heather,Jacqueline
was,is,previously a temporary Hawaii resident,has been staying in Hawaii for two months,is reading a newly released sci-fi book,The scientist,he,Miguel,Maria
was,is,previously a serious movie-poster collector,has collected about 100 movie posters so far,is good at communication,The bartender,he,Madison,Edward
was,is,previously a temporary Hawaii resident,has been staying in Hawaii for two months,is always on time,The chef,he,Meghan,Jasmin
was,is,formerly the assistant of the mayor,has been neighbors with the mayor,is an avid foodie,The publicist,she,Dakota,Jasmine
was,is,once a clock collector,has been checking the clock for five hours,is subscribed to seventy different newsletters,The caterer,she,Dalton,Jonathan
was,is,once a town resident,has been in town for 10 years,is reliably clam under pressure,The technician,she,Cody,Carly
was,is,once a long-time regular at Janice's bakery,has been around for a while,is standing next to the tree,The producer,he,Preston,Laura
is,was,a private-jet dreamer,has been dreaming of buying a private jet,was involved in a car accident the other day,The technician,she,Martin,Avery
is,was,a long-time regular,has been around for a while,was born in Ecuador,The attendant,he,Alexander,Cole
is,was,a YouTube creator,has been earning money by making YouTube videos,was listening to classical music,The violinist,she,Kayla,Shelby
is,was,an impatient clock collector,has been checking the clock for five hours,was famous in Italy,The writer,he,Daisy,Jasmine
is,was,an impatient clock collector,has been checking the clock for five hours,was happy to be outside in the sunny weather,The dancer,he,Samuel,Anna
is,was,a long-time regular at Janice's bakery,has been around for a while,was famous in Italy,The florist,he,Megan,Marissa
is,was,a seasoned industry worker,has worked in the industry for more than 10 years,was pulled over for drunk driving,The photographer,she,Leslie,Jennifer
is,was,a grieving parent,has lost a child,was scared about the loud noises coming from a nearby building,The bartender,he,Kyle,Adrian
is,was,a grieving parent,has lost a child,was surprised about the exciting news,The comedian,he,Charles,Kara
is,was,an All Stars candidate,has been chosen to audition for the All Stars game,was angry,The detective,she,Desiree,Jack
is,would,a longtime diary keeper,has been keeping a diary for 15 years,would buy lottery tickets on the weekends,The nanny,she,Camryn,Madison
is,would,a grieving parent,has lost a child,would go to the park for a walk in the evenings,The linguist,she,Hailey,Dominic
is,would,a longtime neighbor of the mayor,has been neighbors with the mayor,would drink coffee after lunch,The solider,he,Timothy,Malik
is,would,a fridge magnet collector,has been collecting fridge magnets for five years,would have oatmeal for breakfast,The researcher,he,Jordan,Selena
is,would,a longtime neighbor of the mayor,has been neighbors with the mayor,would drive to the nearest library when the weather is bad,The journalist,she,Bethany,Isabel
is,would,a longtime neighbor of the mayor,has been neighbors with the mayor,would sleep on the couch,The counselor,he,Abigail,Cameron
is,would,a serious movie-poster collector,has collected about 100 movie posters so far,would drink coffee after lunch,The actor,he,Connor,Elijah
is,would,a serious movie-poster collector,has collected about 100 movie posters so far,would always be late for meetings,The banker,she,Antonio,Christina
is,would,a devoted Rihanna fan,has been a fan of Rihanna since her debut,would sleep on the couch,The anthropologist,he,Landon,Brendan
is,would,an impatient clock watcher,has been checking the clock for five hours,would wake up early on Christmas Eve,The inspector,he,Lily,Edwin
is,did,a new sci-fi reader,is reading a newly released sci-fi book,hired a teenager to mow the lawn,The attendant,he,Sarah,Brianna
is,did,a very risk-averse person,is quite risk averse,met the Illinois governor at a Greek restaurant,The florist,he,Kendall,Alejandro
is,did,a honeymoon planner,is planning a honeymoon,got engaged this month,The customer,she,Lindsey,Briana
is,did,a trustworthy neighbor,is always trustworthy,used to visit the gourmet regularly,The gardener,he,Mark,Tanner
is,did,a reliably calm person,is reliably clam under pressure,downloaded a rideshare app to go to the airport,The plumber,she,Alexia,Wyatt
is,did,a reliably calm person,is reliably clam under pressure,forgot to lock the door,The ballerina,she,Shawn,Mitchell
is,did,a big Harry Potter fan,is a big fan of Harry Potter,used to play for the youth soccer team in 2009,The accountant,he,Jonathan,Brian
is,did,a new sci-fi reader,is reading a newly released sci-fi book,looked concerned about the weather tomorrow,The swimmer,she,Edwin,Emmanuel
is,did,an avid foodie,is an avid foodie,went to the post office,The hairdresser,he,Angela,Devon
is,did,a former spokesperson,is good at communication,got stung by a wasp the other day,The fisherman,he,Miranda,Victor
is,does,also a gardener,is standing next to the tree,has red hair,The nun,she,Max,Liam
is,does,Dick's tallest son,is tall,has strong opinions about all kinds of things,The florist,he,Gabriela,George
is,does,a proud New Yorker,is a proud New Yorker,frequently gives extreme opinions without backing them up,The musician,he,Jorge,Mario
is,does,also a gardener,is standing next to the tree,usually trains all year for the national competition,The anthropologist,he,Carter,Isabel
is,does,a cordial person,is a cordial person,enjoys having barbecues near the beach,The dentist,he,Alex,Madeline
is,does,a very sleepy person,is about to fall asleep,rides a bike to the nearest park,The tenant,she,Danielle,Ava
is,does,a new sci-fi reader,is reading a newly released sci-fi book,takes a vitamin everyday,The diver,she,Claire,Vincent
is,does,a Spanish learner,is learning Spanish,hates horror movies,The director,she,Ava,Sara
is,does,also a gardener,is standing next to the tree,hates horror movies,The writer,he,Javier,Jocelyn
is,does,an eccentric colleague of Yuri,is eccentric and difficult to control,usually drives three hours a day,The make-up artist,he,Payton,Kendra
is,has,Dick's tallest son,is tall,has been a long time fan of Ariana Grande,The manager,he,Adriana,Heather
is,has,a Vietnamese immigrant to the U.S.,is a U.S. immigrant from Vietnam,has collected about 100 movie posters so far,The model,she,Vanessa,Aidan
is,has,a trustworthy neighbor,is always trustworthy,has worked in the industry for more than 10 years,The reporter,she,Amanda,Jonathan
is,has,a very punctual person,is always on time,has collected about 100 movie posters so far,The cheerleader,she,Destiny,Antonio
is,has,a new sci-fi reader,is reading a newly released sci-fi book,has been keeping a diary for 15 years,The photographer,she,Charles,Cesar
is,has,a good-looking person,is good looking,has been around for a while,The publicist,she,Eric,Jada
is,has,a proud New Yorker,is a proud New Yorker,has been staying in Hawaii for two months,The therapist,she,Ashley,Danielle
is,has,also a furniture designer,is lying on the red futon,has worked in the industry for more than 10 years,The stewardess,she,Meghan,Isaiah
is,has,a consistently trustworthy person,is always trustworthy,has been around for a while,The nanny,she,Gregory,Brayden
is,has,always sleep deprived,is about to fall asleep,has been collecting fridge magnets for five years,The anthropologist,he,Erica,Levi
is,was,a former spokesperson,is good at communication,was disturbed by speeding cars outside,The bartender,he,Andre,Miranda
is,was,a notorious tightwad,is only in it for the money,was growing quite upset about the smell from the sink,The caterer,she,Skylar,Sierra
is,was,a former spokesperson,is good at communication,was angry,The fisherman,he,Manuel,Lauren
is,was,always sleep deprived,is about to fall asleep,was on a diet,The violinist,she,Antonio,Camryn
is,was,a honeymoon planner,is planning a honeymoon,was surprised about the exciting news,The optician,she,Miguel,Harrison
is,was,a very risk-averse person,is quite risk averse,was pulled over for drunk driving,The runner,he,Julia,Veronica
is,was,also a furniture designer,is lying on the red futon,was born in 1992,The linguist,she,Melissa,Oscar
is,was,once a gardener,is standing next to the tree,was growing quite upset about the smell from the sink,The nun,she,Brian,Claire
is,was,a punctual colleague,is never late,was excited about the good news,The director,she,Michaela,William
is,was,a skilled board-game player,is good at board games,was singing a song,The psychologist,she,Micah,Holly
is,would,a honeymoon planner,is planning a honeymoon,would go skiing in the winters,The nanny,she,Katelyn,Amy
is,would,a trustworthy person,is always trustworthy,would buy lottery tickets on the weekends,The florist,he,Peter,Mariah
is,would,a former spokesperson,is good at communication,would stay out late on the weekends,The nun,she,Selena,Lydia
is,would,a notorious tightwad,is only in it for the money,would stay out late on the weekends,The tenant,she,Alex,Alyssa
is,would,always sleep deprived,is about to fall asleep,would go to the movies every week,The plumber,she,Ian,Spencer
is,would,a divorcee,is wearing a wedding ring,would drink coffee after lunch,The photographer,she,Sarah,Timothy
is,would,a proud New Yorker,is a proud New Yorker,would go skiing in the winters,The designer,she,Britney,Anthony
is,would,a very fickle and demanding lady,is extremely fickle and demanding,would go skiing in the winters,The caterer,she,Hector,Rebecca
is,would,a very punctual person,is always on time,would always be late for meetings,The shop owner,he,Maria,Gabriel
is,would,a newsletter-obsessed subscriber,is subscribed to seventy different newsletters,would read books at a park nearby,The pilot,he,Richard,Julia
is,did,an alcoholic,was pulled over for drunk driving,used to get high grades in high school,The colleague,she,Richard,Luke
is,did,an eager camping trip planner,was looking forward to going on a camping trip,opened a new bank account today,The accountant,he,Andrew,Hope
is,did,a long-time social isolate,was isolated from society for a long time,came back home late at night yesterday,The contactor,he,Rachel,Amber
is,did,an alcoholic,was pulled over for drunk driving,used to dream to become a translator,The detective,she,Michaela,Nicholas
is,did,a racecar collector,was disturbed by speeding cars outside,worked with the choreographer,The detective,she,Kaitlyn,Victor
is,did,a good friend of Quinn,was born in 1992,watered the flowers in the garden,The dentist,he,Kenneth,Nathaniel
is,did,also a news anchor,was excited about the good news,hid behind the trees,The reporter,she,Sophie,Amber
is,did,a good friend of Quinn,was born in 1992,had a bad dream,The violinist,she,Dominic,Anna
is,did,a debate champion,was nervous about the upcoming debate,forgot to do the laundry,The teacher,he,Katelyn,Katie
is,did,the famous window fixer,was trying to fix the broken window,seemed very eager to return home,The tenant,she,Alondra,Alexa
is,does,Gina's friend from elementary school,was nervous about the stressful situation,has two sisters,The optician,she,Evelyn,Malik
is,does,a frequent radio listener,was listening to the radio,frequently gives extreme opinions without backing them up,The analyst,he,Christopher,Margaret
is,does,a part-time model,was on a diet,has two sisters,The receptionist,he,Isaiah,Ana
is,does,a Native American descendant,was happy about the cross-country road trip,likes bungee jumping,The overseer,she,Hector,Luis
is,does,Gina's friend from elementary school,was nervous about the stressful situation,finds humor in the worst situations,The swimmer,she,Leslie,Jorge
is,does,the tall nurse's longtime partner,was talking to the tall nurse,always greets kindly,The customer,she,Kenneth,Micah
is,does,a regular visitor of the City Hall,was upset about the cleanliness of City Hall,has lots of interest in French cuisine,The violinist,she,Aidan,Dawson
is,does,a former weather forecaster,was disappointed with the weather,occasionally takes a nap after lunch,The farmer,he,Jillian,Madeline
is,does,a knit lover,was wearing thick clothes,loves reading Russian books,The waitress,she,Riley,Marissa
is,does,a regular visitor of the City Hall,was upset about the cleanliness of City Hall,laughs very loudly,The psychologist,she,Jason,Riley
is,has,a part-time model,was on a diet,has undergone chemotherapy,The customer,she,Kara,Elijah
is,has,Gina's friend from elementary school,was nervous about the stressful situation,has been chosen to audition for the All Stars game,The lawyer,she,Cristian,Cody
is,has,Milla's boyfriend,was angry,has worked in the industry for more than 10 years,The surgeon,he,Cody,Chloe
is,has,a frequent radio listener,was listening to the radio,has been neighbors with the mayor,The manager,he,Chandler,Juan
is,has,a news anchor,was excited about the good news,has been collecting fridge magnets for five years,The teacher,he,Jeremiah,Ian
is,has,also a song writer,was singing a song,has been working out for two hours,The swimmer,she,Diamond,Marcus
is,has,an old friend of Heather's uncle,was born in Ecuador,has been participating in marathons since last year,The housekeeper,he,Zoe,Brooklyn
is,has,also a famous Italian chef,was famous in Italy,has been around for a while,The counselor,he,Alexander,Catherine
is,has,a regular visitor of the City Hall,was upset about the cleanliness of City Hall,has been a fan of Rihanna since her debut,The analyst,he,Ava,Alexandria
is,has,also a weather forecaster,was disappointed with the weather,has been staying in Hawaii for two months,The linguist,she,Grace,Nicolas
was,is,once a debate champion,was nervous about the upcoming debate,is learning Spanish,The swimmer,she,Carter,Garrett
was,is,once a true sun lover,was happy to be outside in the sunny weather,is a big fan of Harry Potter,The drummer,she,Veronica,Aaron
was,is,a former weather forecaster,was disappointed with the weather,is extremely fickle and demanding,The shop owner,he,Amaya,Kenneth
was,is,previously a surgeon,was unhappy about all the noise on the streets,is planning a honeymoon,The customer,she,Aaron,Javier
was,is,an old friend of Heather's uncle a while ago,was born in Ecuador,is reading a newly released sci-fi book,The columnist,he,Sean,Eduardo
was,is,once a knit lover,was wearing thick clothes,is always trustworthy,The linguist,she,Lydia,Kayla
was,is,previously a part-time model,was on a diet,is not good at riding a bike,The researcher,he,Kendall,Samantha
was,is,once a famous Italian chef,was famous in Italy,is reading a newly released sci-fi book,The player,she,Alicia,Mario
was,is,formerly a jazz saxophonist,was sitting on a rocking chair,is an avid foodie,The designer,she,Dalton,Carly
was,is,previously a rock star,was mentioned in the newspaper,is extremely fickle and demanding,The bartender,he,Omar,Avery
is,would,a part-time model,was on a diet,would drive to the nearest library when the weather is bad,The attendant,he,Mckenzie,Isaiah
is,would,Milla's boyfriend,was angry,would have oatmeal for breakfast,The nurse,he,Wesley,Conner
is,would,also a weather forecaster,was disappointed with the weather,would swim in the Lake on Monday mornings,The administrator,he,Madelyn,Victor
is,would,also a news anchor,was surprised about the exciting news,would buy lottery tickets on the weekends,The designer,she,Oscar,Jada
is,would,also a jewelry model,was scared about the loud noises coming from a nearby building,would drive to the nearest library when the weather is bad,The cheerleader,she,Sofia,Bethany
is,would,also a jazz saxophonist,was sitting on a rocking chair,would always be late for meetings,The actress,she,Makayla,Michaela
is,would,also a surgeon,was unhappy about all the noise on the streets,would make pasta for dinner,The hairdresser,he,Diamond,Alejandra
is,would,an eager camping trip planner,was looking forward to going on a camping trip,would wear glasses in the day time,The chef,he,Zachary,Rachel
is,would,also a weather forecaster,was disappointed with the weather,would have salad and boiled eggs for lunch,The author,she,Alexander,Johnathan
is,would,a part-time model,was on a diet,would wear glasses in the day time,The farmer,he,Victoria,Ethan
is,did,a night owl,would stay out late on the weekends,walked toward the stray dog,The producer,he,Morgan,Makayla
is,did,a religious Christian,would wake up early on Christmas Eve,got an autograph from a famous book writer,The runner,he,Derek,Charles
is,did,a ski Olympics champion,would go skiing in the winters,forgot to do the laundry,The carpenter,she,Payton,Jeremiah
is,did,a regular oatmeal eater,would have oatmeal for breakfast,suggested a good cleaning company to Ashley,The actress,she,Mikayla,Samuel
is,did,a religious Christian,would wake up early on Christmas Eve,won the annual cake-baking contest,The solider,he,Andres,Erin
is,did,a Sunday picnic fan,would go out for a picnic on Sundays,used to work as part-time server,The lawyer,she,Abigail,Brittany
is,did,a landlord of three big buildings,would call the landlord every night,had a good sleep,The waitress,she,Martin,Kevin
is,did,a night owl,would stay out late on the weekends,felt so sleepy all day,The bartender,he,Sofia,Isaiah
is,did,the ex-husband of that famous German librarian,would drive to the nearest library when the weather is bad,suggested a good cleaning company to Ashley,The painter,he,Kaylee,Alec
is,did,a frequent pasta maker,would make pasta for dinner,won the annual cake-baking contest,The nutritionist,she,Nicole,Samantha
is,does,a salad-and-eggs lunch eater,would have salad and boiled eggs for lunch,rides a bike to the nearest park,The librarian,he,Ashlyn,Lucas
is,does,a frequent pasta maker,would make pasta for dinner,has two Bengal cats,The producer,he,Caleb,Marissa
is,does,a constant complainer,would complain about everything,frequently gives extreme opinions without backing them up,The lawyer,she,Cassandra,Ryan
is,does,a weekend lottery-ticket buyer,would buy lottery tickets on the weekends,has lots of interest in French cuisine,The architect,he,Miguel,Christopher
is,does,a sunny-day yellow-hat wearer,would wear a yellow hat on sunny days,enjoys hiking,The musician,he,Joel,Phillip
